date,link,text
2019-08-09 17:40,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dob-expeditor-project/6953290511.html,NYC DOB Expeditor Project Manager Filing Representative
2019-08-09 17:22,https://newyork.craigslist.org/mnh/egr/d/new-york-city-nyc-dobarchitectural/6953276247.html,NYC DOB_Architectural Services- filing set_ Freelancer
2019-08-09 16:47,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6953247643.html,Facade / Building Envelope Project Architect
2019-08-09 16:46,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6953246223.html,Facade / Building Envelope Structural Engineer
2019-08-09 16:45,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-bridge/6953245877.html,Structural Engineer - Bridge Design
2019-08-09 16:38,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mechanical-engineer/6953239813.html,Mechanical Engineer - Plumbing
2019-08-09 14:12,https://newyork.craigslist.org/mnh/egr/d/freelance-intermediate-architects-revit/6953109967.html,Freelance INTERMEDIATE Architects (REVIT)
2019-08-09 14:02,https://newyork.craigslist.org/mnh/egr/d/new-york-city-goshow-architects-seeks/6953099967.html,Goshow Architects seeks Project Architects to join our team in New Yor
2019-08-09 13:52,https://newyork.craigslist.org/mnh/egr/d/new-york-city-goshow-architects-seeks/6953090381.html,Goshow Architects seeks Project Managers to join our team in New York
2019-08-09 11:15,https://newyork.craigslist.org/brk/egr/d/brooklyn-director-of-engineering/6952938225.html,Director of Engineering (Restaurant/Hotel)
2019-08-09 10:48,https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-interior-designer/6952914363.html,Freelance Interior Designer
2019-08-09 10:20,https://newyork.craigslist.org/mnh/egr/d/new-york-city-intermediate-project/6952891884.html,INTERMEDIATE PROJECT ARCHITECT
2019-08-09 08:59,https://newyork.craigslist.org/lgi/egr/d/bellmore-plumbing-mechanic-technician/6952836543.html,Plumbing Mechanic / Technician for Immediate Hire
2019-08-08 16:49,https://newyork.craigslist.org/que/egr/d/construction-project-manager-estimator/6952502629.html,Construction Project Manager / Estimator
